Name,Role,Company
Romit Jadhwani,"Sr. Director, Data Analytics, Engineering and Integrations",Databricks
Ron Gabrisko,Chief Revenue Officer,Databricks
Rong Ma,Software Engineer,intel
Ronke Ekwensi,Vice President and Chief Data Officer,T-Mobile
Ruifeng Zheng,Senior Software Engineer,Databricks
Ryan Boyd,Co-founder,MotherDuck
Ryan Johnson,Senior Staff Engineer,Databricks
Ryan Kennedy,Sr. Solutions Architect,Databricks
Ryan Harris,Principal Cybersecurity Engineer,HSBC
Saad Ansari,Senior Staff Product Manager,Databricks
Sachin Balgonda Patil,Solutions Architect,Databricks
Sai Ravuru,Senior Manager of Data Science & Analytics,JetBlue
Salman Mohammed,,Square
Sameer Bhide,Director of Technology,Gathr Data
Samrat Ray,Senior Staff Product Manager,Databricks
Sandy Ryza,Lead Engineer on the Dagster Project,Elementl
Sanjeev Mohan,Principal at SanjMo and Former Gartner Research VP,SanjMo
Sanket Amin,Senior Manager of CAS Data Science and Analytics,Collins Aerospace
Sarah Pollitt,Group Product Manager,Matillion
Sarah Branfman,"VP, ISV Sales",Databricks
Sarang Bapat,Director Data Engineering,United Airlines
Satish Garla,Snowflake Migrations Lead,Databricks
Satish Narayanan,"Senior Vice President, Head of Data as a Service",TD Bank
Satish Padiyar,"Div. Vice President, Data Analytics and Intelligence Platforms & Governance",Health Care Service Corporation
Satya Nadella,Chairman and CEO,"Microsoft, Live Virtual Guest"
Scott Castle,Chief Strategy Officer,Sisense
Scott Bell,Principal Consultant and Databricks SME,RapidData
Scott Lerner,Customer Success Manager,Monte Carlo
Scott Starbird,"General Counsel, Public Affairs and Strategic Partnerships",Databricks
Scott Meier,"Director, Data Analytics Service, Financial Services Center",U.S. Department of Veterans Affairs
Scott Haines,Distinguished Software Engineer,Nike
Sean Knapp,Founder & CEO,Ascend.io
Sean Gorsky,Head of Data Science,Sync Computing
Sean Owen,Principal Product Specialist,Databricks
Serge Smertin,Solutions Architecture Leader,Databricks
Seth Babcock,Head of Connected Aviation Tech Ops Solutions and Analytics,Collins Aerospace
Sharon Zhou,CEO & Cofounder,Lamini
Shasidhar Eranti,Specialist Solutions Architect,Databricks
Shawn Herring,VP Business Intelligence,Acuity Brands Lighting
Shawn Gilleran,Principal Cloud Solutions Lead,LiveRamp
Shawn Benjamin,Data and Business Intelligence Chief,Department of Homeland Security - USCIS
Shir Chorev,Co-founder and CTO,Deepchecks
Shitao Li,Software Engineer,Databricks
Shiv Trisal,"GTM Director, Manufacturing & Energy",Databricks
Shuo Chen,Principle Data Scientist,Tencent
Sid Rabindran,"Director, Partner Strategy & Operations",Databricks
Siddharth Bhai,"Sr. Manager, Product Management",Databricks
Simon Whiteley,CTO,Advancing Analytics
Sirui Sun,Staff Product Manager,Databricks
Slava Frid,CTO,WorldQuant Predictive
Sneh Kakileti,"Vice President, Product Management",ZoomInfo
Sonali Bhavsar,"Managing Director, Data and AI",Accenture
Spencer Cook,Senior Solutions Architect - Financial Services,Databricks
Sravan Kasarla,Chief Data Officer,Thrivent
Sreeharsha Alagani,"Associate Principal, Engineering",TheMathCompany
Sreekanth Ratakonda,Principal Solutions Architect,Labcorp
Sridhar Devarapalli,"Senior Director, Product Management",Databricks
Stan Lin,Tech Lead,Microsoft Corporation
Stefania Leone,Sr. Manager Product Management,Databricks
Stephen Shelton,"Vice President, Business Intelligence",Pluto TV
Steve Sobel,"Global Lead - Communications, Media & Entertainment",Databricks
Suhong Li,Professor,Bryant University
Suneel Konidala,Sr. Manager,Accenture
Sunil Ranganathan,"Director, MLOPs",Tredence
Surya Turaga,Sr. Solutions Architect,Databricks
Suze Howse,Head of Enterprise Data,Marks and Spencer
Tathagata Das,Software Engineer,Databricks
Taylor Hosbach,Data Scientist,DIRECTV
Teja Tangeda,Principal Data Engineer,American Airlines
Teresa Tung,Managing Director,Accenture
Thet Ko,Principal Data Engineer,SEEK
Thomas Kim,Data & AI Group Manager,Avanade
Thomas La Piana,Senior Software Engineer,Ethyca
Thomas Roach,Sr. Solutions Architect,Databricks
Thorsten Jacobs,Sr. Solutions Architect,Databricks
Tianyu Liu,Lead Data Scientist (Analytics),Grab
Timothy Loftus,"Manage of Atmospheric Science, Data Scientist III",AccuWeather
Timothy Ahrens,Messaging Design Division Chief,Department of State
Timur Mehmedbasic,North America Data Platform Modernization Lead,Avanade
Todd Greenstein,Product Manager,Databricks
Tom Tercek,"co-founder, chief strategy officer",Pumpjack Dataworks
Tomer Patel,Software Engineering Manager,Akamai Technologies
Tony Wang,PhD student,Stanford
Uri May,,Hunters
Vadivel Selvaraj,Staff Software Engineer,Rivian
Venkat Viswanathan,Sr Solutions Architect - D&A,AWS
Venkat Dasari,Partner,Databricks
Vicky Andonova,"Manager, Applied Machine Learning",Anomalo
Vijayan Prabhakaran,Senior Staff Engineer,Databricks
Vika Smilansky,Director of Product Marketing,ThoughtSpot
Vikas Reddy Aravabhumi,Staff Backline Engineer,Databricks
Vincent Chen,Direct of Product & Founding Engineer,Snorkel AI
Vini Jaiswal,Principal Developer Advocate,Open Source | AI & Data Evangelist
Vinit Doshi,Senior Manager,Tredence
Vinod Marur,SVP of Engineering,Databricks
